,inout_travelling,operator,network_type,rating,calldrop_category,latitude,longitude,state_name,month,year
0,Indoor,BSNL,2G,3,Satisfactory,-1.0,-1.0,NA ,1,2022
1,Indoor,BSNL,3G,3,Satisfactory,-1.0,-1.0,NA ,1,2022
2,Indoor,Airtel,4G,1,Call Dropped,-1.0,-1.0,NA ,1,2022
3,Indoor,VI,4G,1,Poor Voice Quality,-1.0,-1.0,NA ,1,2022
4,Outdoor,RJio,Unknown,5,Satisfactory,-1.0,-1.0,NA ,1,2022
5,Outdoor,Airtel,4G,1,Call Dropped,-1.0,-1.0,NA ,1,2022
6,Outdoor,VI,4G,1,Poor Voice Quality,-1.0,-1.0,NA ,1,2022
7,Travelling,VI,Unknown,4,Satisfactory,-1.0,-1.0,NA ,1,2022
8,Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA ,1,2022
9,Indoor,VI,2G,5,Satisfactory,-1.0,-1.0,NA ,1,2022
10,Indoor,VI,2G,5,Satisfactory,-1.0,-1.0,NA ,1,2022
11,Indoor,VI,2G,5,Satisfactory,-1.0,-1.0,NA ,1,2022
12,Indoor,VI,2G,5,Satisfactory,-1.0,-1.0,NA ,1,2022
13,Indoor,VI,2G,5,Satisfactory,-1.0,-1.0,NA ,1,2022
14,Indoor,VI,4G,5,Satisfactory,-1.0,-1.0,NA ,1,2022
15,Indoor,VI,4G,5,Satisfactory,-1.0,-1.0,NA ,1,2022
16,Indoor,VI,4G,1,Poor Voice Quality,-1.0,-1.0,NA ,1,2022
17,Indoor,Airtel,Unknown,1,Poor Voice Quality,-1.0,-1.0,NA ,1,2022
18,Travelling,BSNL,Unknown,1,Poor Voice Quality,-1.0,-1.0,NA ,1,2022
19,Outdoor,RJio,4G,4,Satisfactory,-1.0,-1.0,NA ,1,2022
20,Indoor,Airtel,Unknown,1,Poor Voice Quality,-1.0,-1.0,NA ,1,2022
21,Indoor,VI,4G,1,Call Dropped,-1.0,-1.0,NA ,1,2022
22,Indoor,RJio,4G,1,Poor Voice Quality,-1.0,-1.0,NA ,1,2022
23,Indoor,RJio,4G,5,Satisfactory,-1.0,-1.0,NA ,1,2022
24,Indoor,RJio,4G,5,Satisfactory,-1.0,-1.0,NA ,1,2022
25,Indoor,VI,4G,1,Poor Voice Quality,-1.0,-1.0,NA ,1,2022
26,Indoor,BSNL,3G,1,Poor Voice Quality,-1.0,-1.0,NA ,1,2022
27,Indoor,BSNL,3G,3,Satisfactory,-1.0,-1.0,NA ,1,2022
28,Indoor,RJio,4G,4,Satisfactory,-1.0,-1.0,NA ,1,2022
29,Indoor,RJio,4G,1,Call Dropped,-1.0,-1.0,NA ,1,2022
30,Indoor,VI,4G,1,Call Dropped,-1.0,-1.0,NA ,1,2022
31,Indoor,VI,4G,1,Poor Voice Quality,-1.0,-1.0,NA ,1,2022
32,Indoor,VI,4G,1,Poor Voice Quality,-1.0,-1.0,NA ,1,2022
33,Indoor,RJio,4G,1,Call Dropped,-1.0,-1.0,NA ,1,2022
34,Outdoor,BSNL,3G,1,Call Dropped,-1.0,-1.0,NA ,1,2022
35,Outdoor,BSNL,2G,1,Call Dropped,-1.0,-1.0,NA ,1,2022
36,Outdoor,BSNL,3G,1,Call Dropped,-1.0,-1.0,NA ,1,2022
37,Indoor,Airtel,4G,3,Poor Voice Quality,-1.0,-1.0,NA ,1,2022
38,Outdoor,RJio,4G,3,Satisfactory,-1.0,-1.0,NA ,1,2022
39,Outdoor,RJio,Unknown,2,Poor Voice Quality,-1.0,-1.0,NA ,1,2022
40,Outdoor,RJio,4G,5,Satisfactory,-1.0,-1.0,NA ,1,2022
41,Outdoor,Airtel,Unknown,1,Poor Voice Quality,-1.0,-1.0,NA ,1,2022
42,Indoor,VI,4G,1,Call Dropped,-1.0,-1.0,NA ,1,2022
43,Indoor,VI,4G,5,Satisfactory,-1.0,-1.0,NA ,1,2022
44,Indoor,VI,4G,5,Satisfactory,-1.0,-1.0,NA ,1,2022
45,Indoor,RJio,4G,5,Satisfactory,-1.0,-1.0,NA ,1,2022
46,Outdoor,Airtel,4G,1,Call Dropped,-1.0,-1.0,NA ,1,2022
47,Indoor,RJio,Unknown,1,Call Dropped,-1.0,-1.0,NA ,1,2022
48,Indoor,RJio,4G,1,Call Dropped,-1.0,-1.0,NA ,1,2022
49,Indoor,VI,4G,4,Satisfactory,-1.0,-1.0,NA ,1,2022
50,Indoor,Airtel,2G,1,Poor Voice Quality,-1.0,-1.0,NA ,1,2022
